ui_music_volume|Гучнасць музыкі:
ui_sound_volume|Гучнасць гуку:
ui_mouse_sensitivity|Адчувальнасць мышы:
ui_invert_mouse_y_axis|Інвертавання мышы
ui_enabled|Укл.
ui_disabled|Выкл.
ui_damage_to_player|Страты гульцу:
ui_reduced_to_1_over_4_easiest|Паніжаны да 1/4 (лягчэй за ўсё)
ui_reduced_to_1_over_2_easy|Паніжаны да 1/2 (лёгка)
ui_damage_to_friends|Страты сябрам:
ui_reduced_to_1_over_2_easiest|Паніжаны да 1/2 (лягчэй за ўсё)
ui_reduced_to_3_over_4_easy|Зніжаны да 3/4 (лёгка)
ui_normal|Нармальны
ui_combat_ai|Якасць ІІ ў баі:
ui_combat_speed|Тэмп бою:
ui_good|Сілн.
ui_average_caps|Сярэдн.
ui_poor|Слабы.
ui_faster|Высокі.
ui_slower|Нізкі.
ui_control_block_direction|Кірунак блока:
ui_automatic_recommended|Аўтаматычна (рэкамендуецца)
ui_manual_easy|Ўручную (складана)
ui_manual_hard|Ўручную (лёгка)
ui_by_mouse_movement|Па руху мышы
ui_control_attack_direction|Кірунак атакі:
ui_lance_control|Прыцэльвання дзідай:
ui_by_relative_enemy_position|Па пазіцыі ворага
ui_by_inverse_mouse_movement|Па зваротным руху мышы
ui_battle_size|Памер бітвы:
ui_show_attack_direction|Паказ напрамкі атакі
ui_show_targeting_reticule|Прыцэл
ui_show_names_of_friendly_troops|Сцяг дружалюбных атрадаў
ui_report_damage|Паведамленні пра ўрон
ui_report_shot_difficulty|Паведамленні аб складанасці стрэлу
ui_difficulty_rating_percentage|Узровень складанасці = %d%%
ui_controls|Кіраванне
ui_video_options|Графіка
ui_done|Гатовы
ui_factions|Дзяржава
ui_item_itemname|Прадмет - %s
ui_prop_propname|Дробязі - %s
ui_unknown_unknownname|Невядома - %s
ui_entry_point_entrypointname|Кропка ўваходжання %d
ui_passage_menu_item_passagename|Passage (menu item %d)
ui_plant_plantname|Расліна - %s
ui_export_file_for_character_playername_already_exists_overwrite_it|Экспартаваны файл з персанажам %s ўжо існуе. Замяніць яго?
ui_yes|Так
ui_no|Не
ui_set_save_file_name|Увядзіце імя для захавання:
ui_enter_new_name|Увядзіце новае імя:
ui_export_character|Экспартаваць персанажа
ui_import_character|Імпартаваць персанажа
ui_character_playername_exported_successfully|Персанаж %s паспяхова экспартаваны.
ui_character_playername_imported_successfully|Персанаж %s паспяхова імпартаваны.
ui_unable_to_open_import_file|Немагчыма адкрыць імпартаваны файл.
