qstr_Next_Page|Наступная старонка
qstr_Game_Rules:^|Правілы гульні:^
qstr_Show_game_rules|Правілы гульні
qstr_Continue...|Працягнуць...
qstr_Candidate_#1:_{s1}|Кандыдат # 1: {s1}
qstr_Candidate_#2:_{s1}|Кандыдат # 2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} з {s4} хоча прызначыць новага маршала і запрашае сваіх дваран на параду. Галоўныя кандыдаты - {s1} і {s2}.
qstr_Who_do_you_wish_to_s|Каго вы жадаеце падтрымаць?
qstr_{s1}|{s1}
qstr_{s1}_gives_his_suppo|{s2} атрымаў падтрымку {s1}.
qstr_Number_of_Supporters|Падтрымліваюць: {reg0}
qstr_{s2}_has_heard_his_v|{s2} паслухаў савета сваіх дваран. Новым маршалам будзе {s1}.
qstr_Action|Дзеянне
qstr_Attack_Type|Тып атакі
qstr_Stand_Ground|Стаяць на месцы
qstr_Charge|У атаку
qstr_Follow_Me|Ісці за мной
qstr_Hold_This_Position|Трымаць пазіцыю
qstr_Spread_Out|Рассыпацца
qstr_Stand_Closer|Ўстаць бліжэй
qstr_Fall_Back|Адступіць
qstr_Advance|Прасоўвацца
qstr_Dismount|Спешыцца
qstr_Mount|Бой верхам
qstr_Fire_At_Will|Адкрыць агонь
qstr_Use_Blunt_Weapons|Выкарыстоўваць драбільна зброю
qstr_Use_Any_Weapon|Выкарыстоўваць любую зброю
qstr_Ready|Гатова да бою
qstr_Wounded|Паранены
qstr_Dead|Забіты
qstr_Remain_in_retirement|Застацца ў адстаўцы
qstr_Go_back_to_the_adven|Вярнуцца да прыгод
qstr_You_have_retired_at_|Вы адышлі ад спраў на ўзроўні {reg4}. Вы правялі ў прыгоды {reg5} дзён.
qstr_Effect_on_Score|Эфект на рахунак
qstr_Settlements_owned_by|Вы захапілі {reg0} паселішчаў 
qstr_Friendly_Settlements|{reg0} дружалюбных паселішчаў
qstr_Hostile_Settlements:|{reg0} варожых паселішчаў
qstr_Friendly_Lords:_{reg|{reg0} дружалюбных кіраўнікоў
qstr_Enemy_Lords:_{reg0}|{reg0} варожых кіраўнікоў
qstr_Victories:_{reg0}|{reg0} перамог
qstr_Defeats:_{reg0}|{reg0} паражэнняў
qstr_Quests_Completed:_{r|Вы выканалі {reg0} заданняў  
qstr_Companions_Found:_{r|Вы знайшлі {reg0} спадарожнікаў
qstr_Companions_Lost/Depa|{reg0} спадарожнікаў страчана
qstr_Wealth:_{reg0}_denar|Капітал: {reg0} талераў
qstr_Inventory:_{reg0}_de|Маёмасць: {reg0} талераў
qstr_Renown:_{reg0}|Вядомасць: {reg0}
qstr_Experience:_{reg0}|Досвед: {reg0}
qstr_Days_Passed:_{reg0}|Дзён прайшло: {reg0}
qstr_Difficulty:_{reg0}%|Складанасць: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|Выніковы лік: {reg0}
qstr_{s1}_of_{s3}_was_def|{s1} з {s3} пацярпеў паразу ў бітве, але змог бегчы.
qstr_DEBUG:_{s1}_no_longe|Адладка: {s1} больш не ўзначальвае атрад.
qstr_DEBUG:_{s1}_is_no_lo|Адладка: {s1} больш не з'яўляецца зняволеным.
qstr_DEBUG:_{s1}_is_now_a|Адладка: {S1} трапляе ў палон гульца.
qstr_DEBUG:_{s1}_is_now_a_|Адладка: {s1} трапляе ў палон гульца {s2}.
qstr_{s54}_is_a_claimant_|{s54} прэтэндуе на трон {s56}.
qstr_nowhere|Не
qstr_{s57}_and_{s58}|{s57} і {s58}
qstr_{s57}_{s58}|{s57}, {s58}
qstr_{reg3?She:He}|{reg3?Яна: Ён}
qstr_^{s59}|^{s59}
qstr_{reg6?:{reg4?{s54}_i|{reg6?:{reg4?{s54} кіраўнік у {s56}.^ : {s54} - падданы кіраўніка {s56}, {s55}.^ }} Вядомасць: {reg5}.^{reg9?{reg3?Яна: ён} з'яўляецца {reg3?пані: спадаром} наступных паселішчаў: {s58}.:{reg3?Яна: ён не валодае маёнткамі.}{s59}
qstr_The_town_of_{s50}|Горад {s50}
qstr_The_village_of_{s50}|Вёска {s50} каля {s52}
qstr_{s51}_belongs_to_{s1|{s51} належыць {s1} з {s2}.^
qstr_{s7}_and_{s8}|{s7} і {s8}
qstr_{s2}It_has_no_villag|{s2}не валодае вёскамі.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Прылеглыя паселішчы: прылеглае паселішча}: {s8}.^
qstr_{s2}Its_prosperity_i|{s2} дастатак: {s50}
qstr_{s7}_{s8}|{s7}, {s8}
qstr_noone|Не
qstr_{s9}_and_{s10}|{s9} і {s10}
qstr_{s9}_{s10}|{s9}, {s10}
qstr_{s11}_and_{s12}|{s11} і {s12}
qstr_{s11}_{s12}|{s11}, {s12}
qstr_{s5}_is_ruled_by_{s6|Кіраўніком {s5} з'яўляецца {s6}.^ Гарады і паселішчы ў складзе дзяржавы: {s8}.^ Падданыя: {s10}.^ Ворагі {s5}: {s12}.
qstr_{s5}_has_been_defeat|{s5} трывае паразу!
qstr_{s7}_opened_the_gate| {s7} адкрылі вароты
qstr_{s7}_closed_the_gate| {s7} зачынілі вароты
qstr_+{reg1}_to_party_mor|+ {reg1} да баявога духу атрада
qstr_Requires_{reg1}_inte|Вы зможаце прачытаць гэтую кнігу, калі ў вас будзе {reg1} ачкоў інтэлекту.
qstr_Reading_Progress:_{r|Чытанне: {reg1}%
qstr_wound_treament|перавязцы ран
qstr_trainer|навучанне
qstr_surgery|хірургія
qstr_+1_to_{s1}_while_in_|+ 1 да {s1} пры нашэнні з сабой
qstr_{s2}|{s2}
qstr_Base_damage_radius:_|Разлёт аскепкаў: {reg1} крокаў. Радыус паражэння: {reg2} крокаў. 
qstr_Move_here|Перайсці сюды
qstr_View_notes|Прачытаць нататкі
qstr_killed|Смерць у баі
qstr_wounded|Паранены
qstr_{s0}^TOTAL:_{reg3}__|{s0} ^ усяго: {reg3} чалавек. {s2}
qstr_None|Не
qstr_^None|^Няма
qstr_nothing|Не
qstr_{reg0}_village{reg1?|{reg0} дрэваў{reg1?Беларуская: ня}
qstr_{reg0}_castle{reg1?s|{reg0} крепост{reg1?ёй: ь}
qstr_{reg0}_castle{reg1?s:|{reg0} {reg1?крэпасцяў: крэпасць} і {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} горад{reg1?ов:}
qstr_{reg0}_town{reg1?s:}_|{reg0} {reg1?гарадоў: горад} і {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} горад{reg1?ов:}, {s0}
qstr_Your_opponents_are_r|Вашы праціўнікі гатовыя да бою.
qstr_Try_to_destroy_as_ma|Знішчыце як мага больш мэтаў. У вас дзве з паловай хвіліны на расчыстку шляху.
qstr_Stay_behind_the_line|Устаньце за лінію і страляйце па мэтам. Старайцеся не прамахвацца.
qstr_Battle_Advantage_=_{|Баявое перавага: {reg0}.
qstr_{s9}_wants_you_to_re|{s9} хоча, каб вы ішлі за яго арміяй да наступнага паведамлення.
qstr_OIM_add__{s3}_prosil|Вы атрымалі першы загад ад {S3}: захапіць горад.
qstr__Being_Raided_|Пад нападам
qstr__Looted_|Спустошаны
qstr__Under_Siege_|Пад аблогай
qstr_The_village_of_{s1}_|{s2} руйнуе вёску {s1}.
qstr_{s3}_is_no_longer_un|Знятая аблога з {s3}.
qstr_Enemies_spotted_near|Недалёка ад {s1} заўважаныя ворагі.
qstr_{s1}_has_been_besieg|{s2} з {s3} абложвае {s1}.
qstr_{s1}_is_chosen_as_th|{s1} абраны маршалам {s2}.
qstr_{s1}_is_the_new_mars|{s1} стаў маршалам {s2}.
qstr_{s1}_decided_to_do_n|{s1} вырашае нічога не рабіць.
qstr_{s1}_decided_to_gath|{s1} вырашае сабраць войска.
qstr_{s1}_decided_to_besi|{s1} вырашае аблажыць {s2}.
qstr_{s1}_decided_to_raid|{s1} вырашае напасці на {s2}.
qstr_{s1}_decided_to_atta|{s1} вырашае напасці на {s2}.
qstr_{s1}_decided_to_attac|{s1} вырашае напасці на ворагаў, заўважаных каля {s2}.
qstr_You_gained_{reg12}_r|Ваша вядомасць ўзрастае на {reg12}.
qstr_You_lose_{reg12}_ren|Ваша вядомасць памяншаецца на {reg12}.
qstr_Your_relation_with_{|Вашы адносіны c {s1} палепшыліся.
qstr_Your_relation_with_{s|Вашы адносіны з {s1} пагоршыліся.
qstr_You_gain_honour.|Вы набылі павагу.
qstr_You_lose_honour.|Вы страцілі павагу.
qstr_{s1}_has_declared_wa|{s1} і {s2} развязваюць вайну.
qstr_{s1}_and_{s2}_have_m|{s1} і {s2} заключаюць свет.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?быў: цяпер} у {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?накіроўваўся: накіроўваецца} у {s3}. {reg4?Яна: ён} {reg3?знаходзіўся: цяпер} каля {s4}{reg3?:}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?быў: знаходзіцца ў дарозе. {reg4?Яна: ён} {reg3?знаходзіўся: цяпер} каля {s3}{reg3?:}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?быў: знаходзіцца} у палоне ў {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?быў: знаходзіўся} у палоне ў {reg4?яе: яго} ворагаў.
qstr_{reg3?{s2}_s_locatio|{reg3?месцазнаходжанне {s2} было невядома: я не ведаю, дзе цяпер {s2}}.
qstr_{s6}_has_joined_your|{s6} далучаецца да атрада.
qstr_You_now_owe_{reg2}_d|Вы аддаеце {s1} {reg2} талераў.
qstr_Renown_value_for_thi|У выпадку перамогі ваша вядомасць павысіцца на {reg8}.
qstr_You_have_run_into_a_|Вы патрапілі ў пастку!
qstr_You_are_attacked_by_|На вас напалі разбойнікі!
qstr_Holding|Утрыманне пазіцыі
qstr_Following|Наследаванне
qstr_Charging|Напад
qstr_Advancing|Рух наперад
qstr_Falling_Back|Адступленне
qstr_Standing_Closer|Перагрупоўка
qstr_Spreading_Out|Разгрупаванне
qstr_Standing|Абарона
qstr_N/A|Не
qstr_Any_Weapon|Любая зброя
qstr_Blunt_Weapons|Драбільна зброю
qstr_{s1}_Rebels|{s1} (мяцежнікі)
qstr_Given_by:_{s62}|Хто выдаў: {s62}
qstr_Given_on:_{s60}|Калі выдадзена: {s60}
qstr_You_have_{reg0}_days|Дзён на выкананне задання: {reg0}.
qstr_This_quest_has_been_|Заданне завершана. {s59} чакае вас для размовы.
qstr_This_quest_has_been_s|Заданне паспяхова выканана. {s59} чакае вас, каб уручыць узнагароду.
qstr_This_quest_has_faile|Заданне правалена. {s59} чакае вашых тлумачэнняў.
qstr_At_the_time_quest_wa|У дзень, калі было выдадзена заданне, {s1}
qstr_{s1}_is_infested_by_|На {s1} напалі разбойнікі.
qstr_{s5}_has_a_strength_|Армія {s5} складаецца з {reg1} чалавек.
qstr_The_last_time_you_sa|Калі вы бачылі {reg1?яе: яго} апошні раз, {s1}
qstr_The_last_time_you_he|Калі вы чулі пра {reg1?ёй: ім} апошні раз, {s1}
qstr_{s50}|{s50}
qstr_Current_garrison_con|Гарнізон налічвае {reg5} чалавек.^Ежы хопіць на {reg6} дзён.
qstr_Very_Poor|вельмі нізкі
qstr_Poor|нізкі
qstr_Average|сярэдні
qstr_Rich|высокі
qstr_Very_Rich|вельмі высокі
qstr_Manor|Маёнтак
qstr_A_manor_lets_you_res|Сядзіба дазваляе адпачываць у вёсцы. Падчас адпачынку вы плаціце людзям са свайго атрада толькі палову заробку. 
qstr_Mill|Млын
qstr_A_mill_increases_vil|Млын павялічвае дабрабыт вёскі на 5%.
qstr_Watch_Tower|Вартаўнічая вежа
qstr_A_watch_tower_lets_t|Вартавая вежа дазваляе жыхарам вёскі раней падняць трывогу. Час, за які ворагі спустошаць пасёлак, павялічваецца на 25%.
qstr_School|Школа
qstr_A_shool_increases_th|Дзякуючы школе адданасць вам сельскіх жыхароў павялічваецца на 1 пункт у месяц.
qstr_Messenger_Post|Паштовая станцыя
qstr_A_messenger_post_let|Дзякуючы паштовай станцыі жыхары могуць паслаць вам паведамленне аб нападзе ворагаў, нават калі вы знаходзіцеся далёка.
qstr_Prison_Tower|Турэмная вежа
qstr_A_prison_tower_reduc|У палонных у турэмнай вежы будзе менш шанцаў збегчы.
qstr_Prosperity_of_{s2}_h|Узровень дабрабыту {s2} змяніўся з {s3} да {s4}.
qstr_{s4}_looks_upset.|{s4} выглядае засмучана.
qstr_OiM_You_ve_lost_your|Вы страцілі каня.
qstr_oim_potop_negative_e|"А ў лета Гасподняе 1655 круль Польскі шляхецкі парламент, што завецца соймам, сілай разагнаў і абвясціў сябе самадзержцам на манер Маскоўскага гасудара. Ды толькі няправільная шляхта яму гэтага не спусціла, і пайшлі бунты па землях Вялікапольскім, Літоўскім, русінскім і ўкраінскім, якія круль стаў ўціхамірваць наёмнымі нямецкімі ландскнехтамі. Неўзабаве ўся гэтая польска-літоўская Рэспубліка згарэла ў пажарах вайны, нібы вязанка сухога галля. Сам жа Ян Казімір, пазбавіўшыся падтрымкі дваран і народа, бег, адрокшыся ад пасаду, з апошнім сваім военачальнікам - худародным маршалам па мянушцы {playername}. На мяжы Мазовіі і Прусіі іх атачыў вялікі атрад разбойнікаў, якіх шмат блукала тады па краіне. Кароль і ўсе яго спадарожнікі былі забітыя, і дзе спачываюць іх астанкі нікому не вядома. ^ Зянон Пятрэцкі,"" Кароткая гісторыя Рэчы Паспалітай"", 1855 г."
qstr_your_party|ваш атрад
qstr_{reg0?One_of_your_pr|{reg0?Адзін з вашых палонных,:} {s1} з {s3}{reg0?,:} збег!
qstr_You_brought_{reg3}_h|{s1}: дастаўлены {reg3} галоў жывёлы.
qstr_I_heard_that_there_w|Кажуць, хутка будзе турнір у {s62}.
qstr_I_heard_that_one_can|Кажуць, што ў горадзе {s63} {s62} прадаюць вельмі танна.
qstr_I_heard_that_they_pa|Кажуць, што ў горадзе {s63} за {s62} плацяць вельмі высокую цану.
qstr_Log_entry_{reg3}:_ty|Запіс {reg3}: тып {reg4}
qstr_Center:_{s4}|Цэнтр: {s4}
qstr_Troop:_{s4}|Войска: {s4}
qstr_Lord:_{s4}|Кіраўнік: {s4}
qstr_Ally_party_is_presen|Прысутнічае сяброўская войска
qstr_{s4}_is_present_at_e|{s4} прысутнічае на мерапрыемстве
qstr_Event_#{reg5}_type_{|Падзея # {reg5}, тып {reg6}, час {reg8}: стаўленне дзяржавы гульца да войска = {reg7}
qstr_Event_#{reg5}_type_{r|Падзея # {reg5}, тып {reg6}, час {reg8}: стаўленне дзяржавы гульца да цэнтральнай дзяржаве = {reg7}
qstr_Event_#{reg5}_type_{re|Падзея # {reg5}, тып {reg6}, час {reg8}: стаўленне дзяржавы гульца да дзяржавы = {reg7}
qstr_Event_#{reg5}_type_{reg|Падзея # {reg5}, тып {reg6}, час {reg8}. Адносін з Каралеўствам няма.
qstr_Event_#{reg5}_type_{reg6|Падзея # {reg5}, тып {reg6}, час {reg8}. Гулец не ўдзельнічае.
qstr_Elapsed_hours:_{reg7|Прайшло гадзін: {reg7}
qstr_Reputation_type:_{s1|Тып рэпутацыі: {s15}
qstr_Entries_up_to_#{reg5|Прапушчаныя запісы да # {reg5}
qstr__{reg6}_dinarov_| ({reg6} талераў)
qstr__{s20}_{s22}_{s5}| {s20}, {s22} {s5}
qstr_{s0}___{reg1}|{s0} - {reg1}
qstr__^not_drunk| ^^[Цвярозы]
qstr__^slightly_drinken| ^^[Рэдагаваць крыніцу]
qstr__^quite_drunk| ^^[П'яны]
qstr__^cant_say_few_words| ^^[У вусцілку п'яны]
qstr_V_otryade_nachalas_e|У атрадзе лютуе {s0}. Каб вылечыцца, вашым салдатам неабходны адпачынак У карчме і добрая ежа. Добра было б паказаць іх лекару.
qstr_{s0}|{s0}
qstr_{s50}_i_{s0}|{s50} і {s0}
qstr_v_otryade_nachalas_e|У атрадзе лютуе {s0}. Каб вылечыцца, вашым салдатам неабходны адпачынак У карчме і добрая ежа. Добра было б паказаць іх лекару.
qstr_v_otryade_nachalis_e|У атрадзе лютуюць {s50}
qstr_{s2}_{reg3?was:is}_in|{s2} {reg3? быў:} у шляху і {reg4?she:he} {reg3? быў: павінен быць} каля {s3}.
qstr_Player:_v_gorode_{s3|Гулец: у {S30} хутка з'явіцца {S31}.
qstr_{s0}_{s2}|{s0}, {s2}
qstr_V_gorode_{s30}_zaver|У {s30} з'явіліся {s31}.
qstr_Glava|Кіраўнік
qstr_tax:_{reg3}|падаткі: {reg3}
qstr__{s2}_stud:_{reg0}| {s2} stud: {reg0}
qstr_depozita|Дэпазіт
qstr_kredita|Крэдыт
qstr_Zdes_vi_mozhete_zaka|Тут вы можаце замовіць сабе выдатнае зброю.
qstr_Zdes_vi_mozhete_zakaz|Тут вы можаце замовіць сабе выдатнае абмундзіраванне.
qstr_Vash_zakaz_esche_ne_|Ваш заказ яшчэ не гатовы. 
qstr_Vi_esche_ne_zabrali_|Вы яшчэ не забралі свой папярэдні заказ!
qstr_Za_mir_nuzhno_budet_|Мы згодныя заключыць мір, калі ты перадасі нам {s5}.
qstr_Za_mir_nuzhno_budet_o|Я згодны заключыць мір, калі ты перадасі мне {s5} і {s2}.
qstr_Uchitivaya_silu_vash|Мы паважаем сілу вашага зброі, таму згодныя заключыць мір.
qstr_Za_mir_vam_nuzhno_bu|Мы згодныя заключыць мір за невялікую кантрыбуцыю ў памеры {reg1} талераў.
qstr_^{s20}_{s21}|^{s20} {s21}
qstr_gorode|горад
qstr_zamke|крэпасць
qstr_sele|сяло
qstr_V_{s22}_hodyat_sluhi|У {s22} ходзяць чуткі: {s21}
qstr_V_etom_{s22}_nichego| У {s22} нічога характэрнага не здарылася. 
qstr_{s3}_{reg1}_|{s3}({reg1})
qstr_{s4}_{s3}_{reg1}_|{s4}, {s3}({reg1})
qstr_Party_has_nothing_to|Ваш атрад галадае!
qstr_{s31}|{s31}
qstr__{s32}| {s32}
qstr__| 
