ui_texture_detail|Дэталізацыя тэкстур:
ui_max_frame_rate|Кадраў у сек. (макс.):
ui_enable_bumpmap|Выкарыстоўваць бампмэппінг
ui_disable_blood|Адключыць кроў
ui_disable_music|Адключыць музыку
ui_disable_sound|Адключыць гукі
ui_enable_cheats|Ўключыць чыт-коды
ui_enable_edit_mode|Рэжым рэдагавання (можа запаволіць гульню).
ui_enable_pixel_shaders|Піксельныя шэйдэры
ui_enable_sound_variation|Ўключыць змены гуку
ui_enable_vertex_shaders|Тып рэндэрынгу:
ui_shadow_quality|Якасць ценяў:
ui_directx_7|DirectX 7
ui_directx_9|DirectX 9
ui_show_framerate|Отображение частоты кадров
ui_start_windowed|Аконны рэжым
ui_trialmode_caption|Актывацыя
ui_trialmode|"Калі ласка, зарэгіструйце вашу версію ""Mount & Blade. Агнём і мячом. Вялікія бітвы"". Вы знойдзеце унікальны ключ з 16 лічбаў ўнутры скрынкі з гульнёй.
Калі па нейкай прычыне вы не жадаеце актываваць гульню зараз, вы можаце працягнуць гуляць у пробную версію, аднак ваш герой не атрымае ўзровень вышэй за 8."
ui_launch_buy|Купіць ліцэнзію ў TaleWorlds.com
ui_launch_faq|Пытанні аб актывацыі гульні
ui_trialmode2|Каб актываваць гульню неадкладна...
ui_trialmode3|Акрамя таго, вы можаце...
ui_trialmode4|Калі ў вас ёсць пытанні па працэдуры актывацыі, вам варта прачытаць...
ui_serial_key_caption|Серыйны нумар
ui_notification_serial_input|"Увядзіце ваш серыйны нумар (вы можаце скапіраваць і ўставіць яго) і націсніце кнопку ""Актываваць"""
ui_activate|Актываваць
ui_paste|Уставіць
ui_notification_serial_internet_connection|Для актывацыі гульні неабходна злучэнне з Інтэрнэтам!
ui_notification_serial_offline|Калі ваш камп’ютэр не падключаны да Інтэрнэту, то вы можаце:
ui_manual_activation|Актываваць ўручную
ui_offline_activation|Актываваць без Інтэрнэту
ui_manual_activation_caption|Актывацыя ўручную
ui_offline_activation_caption|Актывацыя без Інтэрнэту
ui_cancel2|Выхад
ui_close|Зачыніць
ui_ok2|ОК
ui_activation_successful|Актывацыя выканана!
ui_activation_successful2|"Калі ласка, захавайце ваш серыйны нумар: ён можа яшчэ спатрэбіцца, калі вы захочаце ўсталяваць гульню ""Mount & Blade. Агнём і мячом. Вялікія бітвы"" на новы камп'ютэр."
ui_activation_denied|Актывацыя не выканана!
ui_notification_serial_already_used|Гэты серыйны нумар ужо выкарыстоўваецца на іншым камп'ютары. Для таго, каб актываваць яго на новым, вам прыйдзецца пачакаць некалькі тыдняў.
ui_notification_unable_to_connect_to_activation_server|Немагчыма падключыцца да сервера актывацыі!
ui_notification_unable_to_connect_to_activation_server2|Калі ласка, пераканайцеся, што ўстаноўлена падключэнне да Інтэрнэту і настроены неабходныя дазволы ў брэндмаўэры. У крайнім выпадку скарыстайцеся актывацыяй ўручную.
ui_incorrect_serial_number|Няправільны серыйны нумар!
ui_incorrect_hardware_hash|Няправільныя сістэмныя параметры!
ui_incorrect_activation_code|Няправільны код актывацыі!
ui_cant_write_to_registry|Немагчыма зарэгістраваць!
ui_video|Графіка
ui_audio|Гук
ui_game|Гульня
ui_advanced|Дадаткова
ui_mount_and_blade_is_ready|"Гульня ""Mount & Blade. Агнём і мячом. Вялікія бітвы"" гатовая да запуску."
ui_notification_trial_mode|"Вы гуляеце ў пробную версію гульні ""Mount & Blade. Агнём і мячом. Вялікія бітвы"". Вы можаце гуляць, пакуль ваш персанаж не дасягне 6 ўзроўню. Для таго, каб працягнуць гульню, вам трэба будзе купіць ліцэнзію. Купля ліцэнзіі праз Інтэрнэт і пераход на поўную версію гульні зойме ўсяго некалькі хвілін."
ui_there_are_no_modules_installed|Ніякіх модуляў не ўстаноўлена!
ui_notification_new_version|"Знойдзена новая версія гульні ""Mount & Blade. Агнём і мячом. Вялікія бітвы"".
У вас цяпер ўстаноўлена версія %d.%d%d%d.
Апошняя версія гульні ""Mount&Blade. Агнём і мячом. Вялікія бітвы"" - %d.%d%d%d.
Новую версію можна спампаваць на старонцы www.taleworlds.com."
ui_new_version_found|Знойдзена новая версія!
ui_notification_unable_to_retreive_new_version|Немагчыма атрымаць інфармацыю аб новай версіі. Калі ласка, паспрабуйце пазней.
ui_new_version|Новая версія:
ui_notification_latest_version|У вас ўстаноўлена самая апошняя версія гульні.
ui_mount_and_blade_is_up_to_date|"Гульня ""Mount & Blade. Агнём і мячом. Вялікія бітвы"" абноўлена!"
ui_off|Выкл.
ui_continue_playing_the_trial_mode|Працягнуць гуляць у пробную версію
ui_faq_caption|Пытанні і адказы.
ui_faq_text|Пытанні? Адказы!
ui_auto_adjust|Аўтаналадка
ui_screen_size|Раздзяленне экрана
ui_antialiasing|Сглаживание:
ui_use_desktop_resolution|Раздзяленне працоўнага стала
ui_play|Гуляць
ui_check_for_new_version|Праверка абнаўленняў
ui_configure|Налады
ui_configure_caption|  
ui_mountandblade_website|Сайт гульні
ui_current_setting|                               Модуль:
