qst_deliver_message|Паштальён
qst_deliver_message_text|{s9} просіць вас даставіць ліст {s13}. Апошні раз яго бачылі ў {s4}.
qst_deliver_message_to_enemy_lord|Паштальён
qst_deliver_message_to_enemy_lord_text|{s9} просіць вас даставіць ліст {s13} з {s15}. Апошні раз яго бачылі ў {s4}.
qst_raise_troops|Наёмныя {s14}
qst_raise_troops_text|{s9} просіць вас набраць атрад {s14} ў колькасці {reg1} чалавек і прывесці да яго.
qst_escort_lady|Суправаджэнне {s13}
qst_escort_lady_text|Не
qst_deal_with_bandits_at_lords_village|Разбойнікі ў {s15}
qst_deal_with_bandits_at_lords_village_text|{s13} просіць вас разабрацца з разбойнікамі, якія схаваліся ў вёсцы {s15}, а затым далажыць яму.
qst_collect_taxes|Збор падаткаў
qst_collect_taxes_text|{s9} ппросіць вас сабраць падаткі ў {s3}. Пятая частка сабранай сумы застанецца ў вас.
qst_hunt_down_fugitive|Па слядах ўцекача
qst_hunt_down_fugitive_text|{s9} просіць вас высачыць ўцекача па імі {s4}. Апошні раз яго бачылі ў {s3}.
qst_kill_local_merchant|Забойства гандляра
qst_kill_local_merchant_text|{s9} просіць вас забіць гандляра ў {s3}.
qst_bring_back_runaway_serfs|Збеглыя прыгонныя
qst_bring_back_runaway_serfs_text|{s9} просіць вас знайсці тры групы збеглых прыгонных і вярнуць іх у {s2}. Ён сказаў, што ўсе халопы рухаюцца ў напрамку {S3}.
qst_follow_spy|Шпіёнскія гульні
qst_follow_spy_text|{s11} просіць вас прайсці за шпіёнам, які адправіцца ў шлях з {s12}. Вы не павінны трапіцца шпіёну на вочы, інакш ён можа нешта западозрыць і вярнуцца. Як толькі шпіён сустрэнецца з саўдзельнікам, вы павінны напасці на іх і прывесці да {s11}.
qst_capture_enemy_hero|Выкраданне
qst_capture_enemy_hero_text|{s11} просіць вас захапіць кіраўніка {s13}.
qst_lend_companion|Спадарожнік напракат
qst_lend_companion_text|{s9} просіць вас пакінуць з ім вашага спадарожніка {S3} на тыдзень.
qst_collect_debt|Вяртанне даўгоў
qst_collect_debt_text|{s9} просіць Вас забраць доўг у памеры {reg4} талераў у {s3}.
qst_incriminate_loyal_commander|Паклёп
qst_incriminate_loyal_commander_text|Не
qst_raid_caravan_to_start_war|Правакацыя
qst_raid_caravan_to_start_war_text|Не
qst_meet_spy_in_enemy_town|Сустрэча са шпіёнам
qst_meet_spy_in_enemy_town_text|Не
qst_capture_prisoners|Захоп палонных
qst_capture_prisoners_text|{s9} просіць вас захапіць {reg1} палонных {s3}.
qst_lend_surgeon|Хірург напракат
