hint_1|Вы можаце загадаць салдатам заняць пэўнае месца, націснуўшы клавішу F1.
hint_2|У дождж людзі і коні рухаюцца павольней.
hint_3|Вы можаце затрымацца на карце свету, заціснуўшы клавішу Прабел.
hint_4|Новых воінаў можна наймаць у карчмах.
hint_5|Аддаваць загады спадарожнікам можна і ў баі.
hint_6|Чым вышэй баявы дух групы, тым хутчэй яна перамяшчаецца па карце.
hint_7|Параненыя хутчэй вылечваюцца ў карчмах.
hint_8|Для хуткай пакупкі і продажу рэчаў, якія знаходзяцца ў вас з сабой, зацісніце клавішу Ctrl і пстрыкніце па патрэбным прадмеце левай кнопкай мышы.
hint_9|Каб адкрыць камандны інтэрфейс у баі, націсніце клавішу Backspace.
hint_10|Спыніўшыся ў горадзе, вы будзеце выплачваць сваім людзям толькі палову жалавання. Тое ж адносіцца і да атрадаў, размешчаных у замку ў якасці гарнізона.
hint_11|Каб неадкладна пакінуць мясцовасць, націсніце клавішу Tab.
hint_12|Каб лепш прыцэліцца ў якія стаяць у аддаленні ворагаў, зацісніце клавішу Shift.
